timestamp,pdf_name,error
2025-07-03T00:38:44.363641,SN74CB3T16211DGVR_TexasInstruments_84_componentsearchengine.pdf,Connection error.
2025-07-03T00:38:45.821251,Q22FA23V0029114_SeikoEpsonCorporation_175_componentsearchengine.pdf,Connection error.
2025-07-03T00:38:47.219000,INA826AIDR_TexasInstruments_342_componentsearchengine.pdf,Connection error.
2025-07-03T00:38:48.621588,1761987-9_MACOM_1_alldatasheet.pdf,Connection error.
2025-07-03T00:38:49.914317,BSG0811ND_Infineon_65_componentsearchengine.pdf,Connection error.
2025-07-03T00:38:51.307912,74LVC16245ADGG_PHILIPS_1_alldatasheet.pdf,Connection error.
2025-07-03T00:38:52.646958,74LCX14MTR_STMICROELECTRONICS_0_alldatasheet.pdf,Connection error.
2025-07-03T00:38:54.048655,MAX5920AESA+T_MaximIntegratedProducts_44_componentsearchengine.pdf,Connection error.
2025-07-03T00:38:55.427624,AZV321KSTR-G1_DiodesIncorporated_30_componentsearchengine.pdf,Connection error.
2025-07-03T00:38:56.748061,PSMN6R0-30YL_NXPSemiconductors_168_componentsearchengine.pdf,Connection error.
2025-07-03T00:38:58.024739,74LVC1G125GM_NXP_2_alldatasheet.pdf,Connection error.
2025-07-03T00:38:59.383639,AV8063801116300-SR10E.pdf,Connection error.
2025-07-03T00:39:00.841649,IRF6215STRLPBF_InternationalRectifier_357_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:02.241573,LMC555CMX_slash_NOPB__TexasInstruments_50_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:03.546695,TLV9004QPWRQ1_TexasInstruments_209_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:04.809649,TPD8E003DQDR_TexasInstruments_226_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:06.291597,"74LVC4066PW,118_Nexperia_24_componentsearchengine.pdf",Connection error.
2025-07-03T00:39:07.565144,NLVVHC1G125DFT1G_onsemi_69_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:08.978135,74LVC1G126GW_PHILIPS_0_alldatasheet.pdf,Connection error.
2025-07-03T00:39:10.425575,CDNBS08-T15C_Bourns_124_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:11.740590,SN74LVC1G3157DCKR_TexasInstruments_107_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:13.173547,74LVC07AD_PHILIPS_0_alldatasheet.pdf,Connection error.
2025-07-03T00:39:14.576946,TPS259541DSGR_TexasInstruments_246_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:15.825699,ICL7662EBA+_AnalogDevices_37_componentsearchengine.pdf,Connection error.
